attempt_id,student_id,question_id,topic,difficulty,timestamp,selected_option,is_correct,time_taken_seconds
A000193,S003,Q0057,AI_Basics,1.0,,a,1,17.0
A002127,S026,Q0085,CNN,5.0,,a,0,69.0
A001018,S012,Q0087,CNN,1.0,,b,1,25.0
A002749,S033,Q0127,NLP,3.0,,b,1,34.0
A001068,S013,Q0096,CNN,3.0,,d,0,49.0
A001105,S013,Q0126,NLP,2.0,,c,0,41.0
A003049,S037,Q0051,AI_Basics,3.0,,b,1,35.0
A001221,S015,Q0060,AI_Basics,1.0,,b,1,23.0
A002995,S036,Q0073,Neural_Networks,5.0,,c,0,70.0
A001361,S016,Q0079,Neural_Networks,5.0,,c,0,54.0
A001427,S017,Q0011,Math_Basics,1.0,,c,1,14.0
A001961,S024,Q0015,Python,2.0,,b,1,17.0
A001438,S017,Q0124,NLP,2.0,,a,1,19.0
A000239,S003,Q0102,RNN,2.0,,a,1,45.0
A000052,S001,Q0043,Statistics,4.0,,d,0,41.0
A001927,S023,Q0075,Neural_Networks,5.0,,b,1,52.0
A001875,S023,Q0080,Neural_Networks,2.0,,a,1,30.0
A001500,S018,Q0012,Math_Basics,4.0,,b,0,59.0
A002923,S035,Q0128,NLP,1.0,,d,0,36.0
A003349,S040,Q0041,Statistics,4.0,,b,1,23.0
A003365,S040,Q0127,NLP,3.0,,b,1,30.0
A002833,S034,Q0091,CNN,2.0,,b,1,36.0
A003206,S039,Q0069,ML,5.0,,b,0,59.0
A000140,S002,Q0013,Python,2.0,,b,1,39.0
A002171,S026,Q0061,ML,3.0,,b,1,33.0
A002685,S032,Q0130,NLP,2.0,,b,0,44.0
A000950,S011,Q0100,RNN,3.0,,b,1,42.0
A002439,S029,Q0029,Data_Structures,1.0,,b,1,24.0
A000950,S011,Q0100,RNN,3.0,,b,1,42.0
A003237,S039,Q0017,Python,2.0,,b,1,33.0
A000555,S007,Q0100,RNN,3.0,,b,1,50.0
A000479,S006,Q0130,NLP,2.0,,a,1,34.0
A003206,S039,Q0069,ML,5.0,,c,0,59.0
