question_id,topic,prerequisite_topics,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
Q0001,Math_Basics,,5,What is the derivative of x^3 with respect to x?,3x,x^2,3x^2,x^3/3,c
Q0002,Math_Basics,,4,What is the sum of the first 10 natural numbers?,45,50,55,60,c
Q0003,Math_Basics,,1,What is 7 + 5 x 2?,24,17,19,14,b
Q0004,Math_Basics,,2,Solve for x: 2x + 3 = 11,3,4,5,7,b
Q0005,Math_Basics,,3,Solve for x: x^2 - 5x + 6 = 0 (give the smaller root),2,3,-2,6,a
Q0006,Math_Basics,,5,Solve: log base 2 of 8 = ?,2,3,4,8,b
Q0007,Math_Basics,,5,What is the sum of an infinite geometric series with first term 1 and ratio 1/2?,1,1.5,2,Infinite,c
Q0008,Math_Basics,,5,"If sin(theta) = 0.5, what is theta in degrees (0 to 90)?",30,45,60,90,a
Q0009,Math_Basics,,2,What is the value of 3^2 + 4^2?,25,7,14,49,a
Q0010,Math_Basics,,2,What is the perimeter of a rectangle with length 8 and width 5?,13,26,40,18,b
Q0011,Math_Basics,,1,Simplify: 3/6,1/3,2/3,1/2,3/4,c
Q0012,Math_Basics,,4,Simplify: (2x^2)(3x^3),6x^5,5x^6,6x^6,5x^5,a
Q0013,Python,,2,What is the data type of the result of 3/2 in Python 3?,int,float,str,complex,b
Q0014,Python,,3,What will print(type([])) output?,<class 'list'>,<class 'array'>,<class 'tuple'>,Error,a
Q0015,Python,,2,Which keyword is used to define a function in Python?,func,def,function,lambda,b
Q0016,Python,,3,"What does range(2, 10, 2) generate?","2,4,6,8","2,4,6,8,10","2,3,4,...,9","0,2,4,6,8",a
Q0017,Python,,2,"What does len([1, 2, 3]) return?",2,3,4,Error,b
Q0018,Python,,1,Which symbol is used to start a single-line comment in Python?,//,#,<!-- -->,/* */,b
Q0019,Python,,5,What is a decorator in Python?,A design pattern for styling console output,A function that modifies another function's behavior,A type of loop,A built-in data type,b
Q0020,Python,,2,Which of these is a mutable data type in Python?,tuple,string,list,int,c
Q0021,Python,,5,What does *args allow a function to accept?,A fixed number of arguments,A variable number of positional arguments,Only keyword arguments,Only one argument,b
Q0022,Python,,4,"What is the output of print([1,2,3] + [4,5])?","[1,2,3,4,5]",Error,"[5,7,3]","[1,2,3,[4,5]]",a
Q0023,Python,,4,What does a try/except block handle?,Loops,Exceptions,Comments,Imports,b
Q0024,Python,,1,What is the correct file extension for Python files?,.pt,.pyt,.py,.python,c
Q0025,Data_Structures,Python,4,What is the worst-case time complexity of Quicksort?,O(n log n),O(n),O(n^2),O(log n),c
Q0026,Data_Structures,Python,2,What is the time complexity of accessing an element in an array by index?,O(1),O(n),O(log n),O(n^2),a
Q0027,Data_Structures,Python,2,"Which data structure follows FIFO (First In, First Out)?",Stack,Queue,Tree,Graph,b
Q0028,Data_Structures,Python,5,What is the time complexity of inserting into a min-heap?,O(1),O(log n),O(n),O(n log n),b
Q0029,Data_Structures,Python,1,"Which data structure follows LIFO (Last In, First Out)?",Queue,Stack,Array,Tree,b
Q0030,Data_Structures,Python,2,A linked list node is typically composed of:,Only data,Only a pointer,Data and a pointer to the next node,Two pointers only,c
Q0031,Data_Structures,Python,3,What is the time complexity of searching in a balanced binary search tree?,O(1),O(n),O(log n),O(n^2),c
Q0032,Data_Structures,Python,5,Which data structure is best suited for implementing a priority queue?,Array,Stack,Heap,Linked list,c
Q0033,Data_Structures,Python,2,What is the main advantage of a linked list over an array?,Faster indexing,Dynamic size without shifting elements,Always uses less memory,Better cache performance,b
Q0034,Data_Structures,Python,3,"In a binary tree, what is a leaf node?",The root node,A node with no children,A node with exactly one child,Any internal node,b
Q0035,Data_Structures,Python,4,Which traversal visits the root before its left and right children?,Inorder,Postorder,Preorder,None of these,c
Q0036,Data_Structures,Python,4,What is the space complexity of an adjacency matrix for a graph with V vertices?,O(V),O(V^2),O(V log V),O(1),b
Q0037,Statistics,Math_Basics,4,What does a correlation coefficient of -0.9 indicate?,No relationship,Strong positive relationship,Strong negative relationship,Weak negative relationship,c
Q0038,Statistics,Math_Basics,2,"What is the mode of 2, 3, 3, 4, 5?",2,3,4,5,b
Q0039,Statistics,Math_Basics,3,What does standard deviation measure?,Central tendency,Spread of data around the mean,Total sum,Median position,b
Q0040,Statistics,Math_Basics,3,"What is the median of 3, 7, 9, 15, 20?",7,9,15,10.8,b
Q0041,Statistics,Math_Basics,4,"In a normal distribution, about what percentage of data falls within 1 standard deviation of the mean?",50%,68%,95%,99.7%,b
Q0042,Statistics,Math_Basics,5,What is Bayes' Theorem used for?,Calculating the mean of a dataset,Updating probability estimates based on new evidence,Measuring the spread of data,Finding the mode,b
Q0043,Statistics,Math_Basics,4,What is variance?,The square root of standard deviation,The average of the data,The average of squared deviations from the mean,The middle value of a dataset,c
Q0044,Statistics,Math_Basics,3,What is the probability of rolling a 4 on a fair six-sided die?,1/2,1/3,1/6,1/4,c
Q0045,Statistics,Math_Basics,1,"What is the mean of 2, 4, 6, 8?",4,5,6,20,b
Q0046,Statistics,Math_Basics,3,"If two events are mutually exclusive, what is P(A and B)?",P(A) x P(B),P(A) + P(B),0,1,c
Q0047,Statistics,Math_Basics,5,What does a confidence interval represent?,The exact value of a population parameter,A range of plausible values for a population parameter,The required sample size,The p-value of a test,b
Q0048,Statistics,Math_Basics,4,What does a p-value less than 0.05 typically suggest in hypothesis testing?,Accept the null hypothesis,Reject the null hypothesis,The sample size is too small,The data is normally distributed,b
Q0049,AI_Basics,Python;Math_Basics,4,What is the difference between breadth-first search and depth-first search?,"BFS explores level by level, DFS explores as far as possible along a branch first",They are identical algorithms,"DFS always finds the shortest path, BFS doesn't","BFS uses a stack, DFS uses a queue",a
Q0050,AI_Basics,Python;Math_Basics,3,What is an intelligent agent in AI?,A human operator,Anything that perceives its environment and acts to achieve goals,A type of database,A programming language,b
Q0051,AI_Basics,Python;Math_Basics,3,What does the A* search algorithm use to find the optimal path?,Random guessing,A heuristic function combined with path cost,Only depth-first search,Brute force with no heuristic,b
Q0052,AI_Basics,Python;Math_Basics,3,What is knowledge representation in AI?,Storing raw video files,Encoding facts and relationships so a system can reason about them,Compressing neural network weights,A type of hardware acceleration,b
Q0053,AI_Basics,Python;Math_Basics,4,What is the 'frame problem' in AI?,A bug in image processing,The challenge of representing what changes and stays the same after an action,A hardware limitation,A networking issue,b
