attempt_id,student_id,question_id,topic,difficulty,timestamp,selected_option,is_correct,time_taken_seconds,prerequisite_topics,correct_option,grade,exam_goal,available_minutes_per_day,days_since_attempt,recency_weight,time_taken_bucket,attempt_order_in_topic
A000013,S001,Q0051,AI_Basics,3.0,2026-08-31 02:11:57,a,0,33.0,Python;Math_Basics,b,9,General_Practice,45,18.584319547453703,0.27577585309264796,fast,1
A000020,S001,Q0052,AI_Basics,3.0,2026-08-31 03:29:57,b,1,25.0,Python;Math_Basics,b,9,General_Practice,45,18.530152880787035,0.27681321274673676,fast,2
A000022,S001,Q0049,AI_Basics,4.0,2026-09-01 09:16:57,c,0,45.0,Python;Math_Basics,a,9,General_Practice,45,17.289180658564813,0.3016781124739276,normal,3
A000056,S001,Q0057,AI_Basics,1.0,2026-09-08 09:38:57,a,1,23.0,Python;Math_Basics,a,9,General_Practice,45,10.273902880787036,0.4905967942541077,normal,4
A000069,S001,Q0060,AI_Basics,1.0,2026-09-11 13:19:57,b,1,21.0,Python;Math_Basics,b,9,General_Practice,45,7.120430658564814,0.6104550333834219,normal,5
A000070,S001,Q0053,AI_Basics,4.0,2026-09-11 19:56:57,a,0,45.0,Python;Math_Basics,b,9,General_Practice,45,6.84473621412037,0.6222328117541055,normal,6
A000078,S001,Q0057,AI_Basics,1.0,2026-09-13 20:07:57,a,1,23.0,Python;Math_Basics,a,9,General_Practice,45,4.837097325231482,0.7151363627726249,normal,7
A000087,S001,Q0056,AI_Basics,1.0,2026-09-17 09:33:57,b,1,13.0,Python;Math_Basics,b,9,General_Practice,45,1.2773751030092593,0.9152656800737166,fast,8
A000017,S001,Q0096,CNN,3.0,2026-08-30 05:24:57,b,1,38.0,Neural_Networks,b,9,General_Practice,45,19.450291769675925,0.2597095234233487,normal,1
A000058,S001,Q0085,CNN,5.0,2026-09-08 19:38:57,a,0,58.0,Neural_Networks,b,9,General_Practice,45,9.85723621412037,0.5049723776158801,normal,2
A000067,S001,Q0092,CNN,3.0,2026-09-10 10:10:57,a,1,35.0,Neural_Networks,a,9,General_Practice,45,8.251680658564814,0.5644164472320697,normal,3
A000018,S001,Q0026,Data_Structures,2.0,2026-08-30 22:55:57,a,1,32.0,Python,a,9,General_Practice,45,18.720430658564815,0.27318627977616744,normal,1
A000019,S001,Q0035,Data_Structures,4.0,2026-08-31 21:17:57,c,1,44.0,Python,c,9,General_Practice,45,17.78848621412037,0.29141587550997583,normal,2
A000027,S001,Q0027,Data_Structures,2.0,2026-09-01 06:38:57,b,1,32.0,Python,b,9,General_Practice,45,17.398902880787038,0.2993924430391404,normal,3
A000029,S001,Q0028,Data_Structures,5.0,2026-09-02 08:46:57,d,0,68.0,Python,b,9,General_Practice,45,16.31001399189815,0.32286402444754153,slow,4
A000046,S001,Q0036,Data_Structures,4.0,2026-09-05 01:35:57,b,1,58.0,Python,b,9,General_Practice,45,13.609319547453703,0.3893307080271776,slow,5
A000051,S001,Q0033,Data_Structures,2.0,2026-09-06 15:59:57,b,1,32.0,Python,b,9,General_Practice,45,12.009319547453703,0.43499419253531635,normal,6
A000065,S001,Q0035,Data_Structures,4.0,2026-09-10 05:42:57,a,0,43.0,Python,c,9,General_Practice,45,8.437791769675925,0.5571821027705824,fast,7
A000083,S001,Q0032,Data_Structures,5.0,2026-09-17 01:05:57,b,0,49.0,Python,c,9,General_Practice,45,1.630152880787037,0.8931563876238258,fast,8
A000088,S001,Q0035,Data_Structures,4.0,2026-09-17 14:49:57,c,1,48.0,Python,c,9,General_Practice,45,1.0579306585648147,0.929293958731065,normal,9
A003380,S001,Q0031,Data_Structures,3.0,2026-09-18 12:20:13,b,0,3.0,Python,c,9,General_Practice,45,0.16191214004629628,0.9888398474074924,fast,10
A003381,S001,Q0034,Data_Structures,3.0,2026-09-18 12:21:26,a,0,3.0,Python,b,9,General_Practice,45,0.1610672326388889,0.9888977600330507,fast,11
A003385,S001,Q0025,Data_Structures,4.0,2026-09-18 12:30:23,a,0,1.0,Python,c,9,General_Practice,45,0.1548519548611111,0.9893238790829706,fast,12
A003386,S001,Q0029,Data_Structures,1.0,2026-09-18 12:30:27,c,0,1.0,Python,b,9,General_Practice,45,0.15480565856481482,0.98932705384296,fast,13
A003387,S001,Q0030,Data_Structures,2.0,2026-09-18 12:31:03,c,1,2.0,Python,c,9,General_Practice,45,0.15438899189814814,0.9893556271413236,fast,14
A000009,S001,Q0119,LSTM,4.0,2026-08-29 17:21:57,c,0,65.0,RNN,b,9,General_Practice,45,19.95237510300926,0.2508266402398156,slow,1
A000014,S001,Q0119,LSTM,4.0,2026-08-30 18:03:57,d,0,54.0,RNN,b,9,General_Practice,45,18.92320843634259,0.26937337315344956,slow,2
A000015,S001,Q0119,LSTM,4.0,2026-08-31 02:25:57,a,0,42.0,RNN,b,9,General_Practice,45,18.57459732523148,0.2759617591684204,fast,3
A000049,S001,Q0113,LSTM,5.0,2026-09-05 21:06:57,b,1,55.0,RNN,b,9,General_Practice,45,12.79612510300926,0.4119061265702829,normal,4
A000060,S001,Q0114,LSTM,2.0,2026-09-08 19:57:57,c,1,36.0,RNN,c,9,General_Practice,45,9.844041769675925,0.505434421050708,normal,5
A000066,S001,Q0115,LSTM,4.0,2026-09-11 00:06:57,d,0,51.0,RNN,a,9,General_Practice,45,7.671125103009259,0.5875923383306512,normal,6
A000085,S001,Q0110,LSTM,2.0,2026-09-16 12:18:57,b,0,44.0,RNN,a,9,General_Practice,45,2.162791769675926,0.8607826015534134,slow,7
A000091,S001,Q0111,LSTM,1.0,2026-09-17 10:05:57,d,0,33.0,RNN,a,9,General_Practice,45,1.255152880787037,0.9166765749158635,slow,8
A000092,S001,Q0116,LSTM,1.0,2026-09-17 18:42:57,b,1,30.0,RNN,b,9,General_Practice,45,0.8961251030092592,0.9397751270705703,slow,9
A003374,S001,Q0112,LSTM,3.0,2026-09-18 11:46:14,a,1,2.0,RNN,a,9,General_Practice,45,0.18551167708333333,0.9872236301368499,fast,10
A000053,S001,Q0071,ML,3.0,2026-09-06 16:18:57,b,1,39.0,AI_Basics;Statistics,b,9,General_Practice,45,11.996125103009259,0.4353922068025484,normal,1
A000055,S001,Q0063,ML,2.0,2026-09-07 13:20:57,b,1,30.0,AI_Basics;Statistics,b,9,General_Practice,45,11.11973621412037,0.46266067334217187,normal,2
A000063,S001,Q0070,ML,5.0,2026-09-10 11:04:57,c,0,53.0,AI_Basics;Statistics,b,9,General_Practice,45,8.214180658564814,0.5658854443474728,normal,3
A000071,S001,Q0066,ML,2.0,2026-09-12 10:30:57,a,1,32.0,AI_Basics;Statistics,a,9,General_Practice,45,6.237791769675925,0.6489687088760163,normal,4
A000075,S001,Q0061,ML,3.0,2026-09-12 22:04:57,d,0,38.0,AI_Basics;Statistics,b,9,General_Practice,45,5.755847325231482,0.6710142303758022,normal,5
A000080,S001,Q0072,ML,5.0,2026-09-15 14:12:57,b,0,56.0,AI_Basics;Statistics,a,9,General_Practice,45,3.0836251030092594,0.807557834639493,normal,6
A003377,S001,Q0067,ML,3.0,2026-09-18 11:46:28,a,0,3.0,AI_Basics;Statistics,b,9,General_Practice,45,0.18534964004629628,0.9872347182521984,fast,7
A003382,S001,Q0062,ML,2.0,2026-09-18 12:29:49,a,1,2.0,AI_Basics;Statistics,a,9,General_Practice,45,0.15524547337962963,0.9892968940343903,fast,8
A003383,S001,Q0064,ML,1.0,2026-09-18 12:30:10,a,1,3.0,AI_Basics;Statistics,a,9,General_Practice,45,0.15500241782407406,0.9893135611833642,fast,9
A003384,S001,Q0065,ML,1.0,2026-09-18 12:30:15,c,0,1.0,AI_Basics;Statistics,b,9,General_Practice,45,0.1549445474537037,0.989317529593555,fast,10
A000004,S001,Q0003,Math_Basics,1.0,2026-08-28 07:02:57,b,1,17.0,,b,9,General_Practice,45,21.38223621412037,0.22715931610960702,fast,1
A000016,S001,Q0006,Math_Basics,5.0,2026-08-30 21:47:57,b,1,57.0,,b,9,General_Practice,45,18.767652880787036,0.2722935496428177,normal,2
A000035,S001,Q0011,Math_Basics,1.0,2026-09-03 22:18:57,c,1,19.0,,c,9,General_Practice,45,14.746125103009259,0.35983002783383045,fast,3
A000041,S001,Q0005,Math_Basics,3.0,2026-09-03 23:27:57,a,1,46.0,,a,9,General_Practice,45,14.698208436342592,0.3610271290704112,slow,4
A000042,S001,Q0007,Math_Basics,5.0,2026-09-04 01:55:57,b,0,61.0,,c,9,General_Practice,45,14.595430658564814,0.36360827405741586,normal,5
A000044,S001,Q0004,Math_Basics,2.0,2026-09-04 04:00:57,b,1,10.0,,b,9,General_Practice,45,14.508625103009258,0.36580266472741846,fast,6
